device,category,soc,ram_gb,sticker_usd,watts_load,model,quant,tok_s_gen,backend,source_url,notes,prefill_tok_s,ctx_tokens,evidence,measured_date,machine_id,prefill_cold_verified,price_source,price_date,price_status
Mac Mini M4 16GB,apple,M4,16,799.00,25,Llama 3.2 1B,Q4,30.6,Ollama llama.cpp,https://www.geeky-gadgets.com/apple-mini-llama-gemma,Real measurement Geeky Gadgets,,,MEASURED,,,,https://www.macrumors.com/2026/05/01/mac-mini-now-starts-at-799,2026-05-01,REPRICED from $599 ($599/256GB SKU DISCONTINUED)
Mac Mini M4 16GB (MLX),apple,M4,16,799.00,25,Llama 3.2 1B,MLX 4-bit,175,MLX,est,5-7x llama.cpp est,,,ESTIMATED,,,,https://www.macrumors.com/2026/05/01/mac-mini-now-starts-at-799,2026-05-01,REPRICED from $599 ($599/256GB SKU DISCONTINUED)
Mac Mini M4 Pro 24GB,apple,M4 Pro,24,1199,35,Llama 3.2 1B,Q4,120,Ollama,est,1.5x base M4 est,,,ESTIMATED,,,,,,"STALE - 2024/2025 price, unverified for 2026"
Mac Mini M4 Pro 24GB (MLX),apple,M4 Pro,24,1199,35,Llama 3.2 1B,MLX 4-bit,300,MLX,est,MLX advantage,,,ESTIMATED,,,,,,"STALE - 2024/2025 price, unverified for 2026"
MacBook Pro M4 Max 128GB,apple,M4 Max,128,3599,40,Qwen3-0.6B,MLX 4-bit,525.5,MLX,https://blog.starmorph.com/blog/apple-silicon-llm-inference-optimization-guide,Fastest 0.8B measured,,,MEASURED,,,,,,"STALE - 2024/2025 price, unverified for 2026"
MacBook Pro M4 Max 128GB,apple,M4 Max,128,3599,40,Llama-3.2-1B,MLX 4-bit,461.9,MLX,https://blog.starmorph.com/blog/apple-silicon-llm-inference-optimization-guide,,,,MEASURED,,,,,,"STALE - 2024/2025 price, unverified for 2026"
MacBook Pro M4 Max 128GB,apple,M4 Max,128,3599,40,Qwen3-0.6B,4-bit,281.5,llama.cpp,Starmorph/Groundy,llama.cpp is slower than MLX,,,ESTIMATED,,,,,,"STALE - 2024/2025 price, unverified for 2026"
MacBook Air M4 16GB,apple,M4,16,1199,25,Llama 3.2 1B,MLX 4-bit,135,MLX,est,,,,ESTIMATED,,,,,,"STALE - 2024/2025 price, unverified for 2026"
Raspberry Pi 5 8GB,sbc,BCM2712,8,175.00,8,Qwen 2.5 0.5B,Q4_K_M,17,llama.cpp,est,est from 16GB data,,,ESTIMATED,,,,https://www.cnx-software.com/2026/04/28/what-a-difference-two-years-make-comparing-sbc-prices-in-2024-and-2026,2026-04-28,REPRICED from $60 (+119% vs $80 launch)
Raspberry Pi 5 16GB,sbc,BCM2712,16,299.99,8,Qwen 2.5 0.5B,Q4_K_M,19.4,llama.cpp,https://www.dfrobot.com/blog-14068.html,Real measurement DFRobot,,,MEASURED,,,,https://www.jeffgeerling.com/blog/2026/dram-pricing-is-killing-the-hobbyist-sbc-market,2026-04-01,REPRICED from $80 (3rd hike in 5 months; Tom's HW had $205 in Feb)
Raspberry Pi 5 16GB,sbc,BCM2712,16,299.99,7.4,TinyLlama 1.1B,Q4_K_M,18.4,Ollama,https://localaimaster.com/blog/llm-raspberry-pi-5,Real measurement,,,MEASURED,,,,https://www.jeffgeerling.com/blog/2026/dram-pricing-is-killing-the-hobbyist-sbc-market,2026-04-01,REPRICED from $80 (3rd hike in 5 months; Tom's HW had $205 in Feb)
Raspberry Pi 5 + Hailo-10H,sbc+accel,BCM2712+Hailo,16+8,,8,Llama 3 8B,INT4,11,HailoRT,https://www.codesota.com/embedded-ai/hailo-10h-llms,8B class fallback,,,MEASURED,,,,,,UNPRICED - Pi 5 16GB base repriced to $299.99 (Geerling 2026-04-01) but no sourced Hailo-10H module price found. Old $305 bundle assumed an $80 Pi and is void.
OrangePi 5 Pro 16GB,sbc,RK3588S,16,109,10,Qwen 2.5 0.5B,W8A8,28,RKLLama NPU,est,Best $/tok at 0.8B,,,ESTIMATED,,,,,,"STALE - 2024/2025 price, unverified for 2026"
